x,y,z,s
3.228824,-5.000000,-3.116051,6
3.317992,-5.000000,-2.018786,6
0.003674,-1.697293,-5.000000,6
-1.066144,-1.673400,-5.000000,6
-0.513299,-2.523111,-5.000000,6
1.579836,-2.491807,5.000000,6
0.519360,-2.519871,5.000000,6
1.073176,-1.672697,5.000000,6
0.000837,-3.351588,-5.000000,6
1.010164,-3.347315,-5.000000,6
0.515842,-2.523597,-5.000000,6
2.302006,-5.000000,-1.569562,6
1.051700,-5.000000,-1.654239,6
1.521425,-5.000000,-0.794178,6
5.000000,-3.318923,-2.017655,6
5.000000,-2.325531,-1.569567,6
5.000000,-2.516856,-2.495198,6
0.000000,-5.000000,5.000000,6
0.500461,-5.000000,4.175980,6
-0.500609,-5.000000,4.174824,6
1.015901,-3.342548,5.000000,6
1.579836,-2.491807,5.000000,6
2.057822,-3.299369,5.000000,6
1.513330,-4.164339,5.000000,6
1.015901,-3.342548,5.000000,6
2.057822,-3.299369,5.000000,6
3.344209,-5.000000,0.000685,6
3.322543,-5.000000,1.014489,6
4.174408,-5.000000,0.501270,6
0.500461,-5.000000,4.175980,6
0.000495,-5.000000,3.346551,6
-0.500609,-5.000000,4.174824,6
-0.500609,-5.000000,4.174824,6
0.000495,-5.000000,3.346551,6
-1.011233,-5.000000,3.325465,6
-1.000000,-5.000000,5.000000,6
-1.511811,-4.166036,5.000000,6
-0.501692,-4.174826,5.000000,6
5.000000,-1.631638,1.139792,6
5.000000,-0.618928,0.729086,6
5.000000,-1.636508,0.078913,6
-5.000000,-3.277340,2.059183,6
-5.000000,-2.456930,2.543603,6
-5.000000,-3.113668,3.228546,6
-0.497660,-5.000000,2.496024,6
0.000495,-5.000000,3.346551,6
0.517604,-5.000000,2.518639,6
-4.000000,-5.000000,-5.000000,6
-5.000000,-5.000000,-4.000000,6
-3.649202,-5.000000,-4.106914,6
-5.000000,-4.124007,-2.560826,6
-5.000000,-3.115797,-3.229348,6
-5.000000,-3.294867,-2.062297,6
